network_cost, execution_speed, scheduler, graph, locations, model_execution_speed
4.895833333333349,76.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(3,5,10,1.0,10.0)",0
4.895833333333349,76.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(3,5,10,1.0,10.0)",0
4.895833333333349,76.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(3,5,10,1.0,10.0)",0
4.895833333333349,76.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(3,5,10,1.0,10.0)",0
4.895833333333349,76.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(3,5,10,1.0,10.0)",0
5.374999999999994,124.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(7,5,10,1.0,10.0)",0
5.374999999999994,124.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(7,5,10,1.0,10.0)",0
5.374999999999994,124.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(7,5,10,1.0,10.0)",0
5.374999999999994,124.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(7,5,10,1.0,10.0)",0
5.374999999999994,124.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(7,5,10,1.0,10.0)",0
4.919999999999985,64.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(3,4,10,1.0,10.0)",0
4.919999999999985,64.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(3,4,10,1.0,10.0)",0
4.919999999999985,64.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(3,4,10,1.0,10.0)",0
3.9199999999999804,64.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(3,4,10,1.0,10.0)",0
3.9199999999999804,64.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(3,4,10,1.0,10.0)",0
2.5,21.0,SpyableGeoScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(3,4,10,1.0,10.0)",21000
3.9199999999999804,64.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(3,4,10,1.0,10.0)",0
2.500000000000001,21.0,SpyableGeoScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(3,4,10,1.0,10.0)",21000
3.9199999999999804,64.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(3,4,10,1.0,10.0)",0
2.4999999999999964,23.0,SpyableGeoScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(7,5,10,1.0,10.0)",23000
5.357142857142866,46.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(6,1,10,1.0,10.0)",0
1.4999999999999996,13.0,SpyableGeoScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(6,1,10,1.0,10.0)",13000
4.3571428571428745,46.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(6,1,10,1.0,10.0)",0
1.5,13.0,SpyableGeoScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(6,1,10,1.0,10.0)",13000
4.3571428571428745,46.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(6,1,10,1.0,10.0)",0
5.357142857142866,46.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(6,1,10,1.0,10.0)",0
5.285714285714319,88.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(6,4,10,1.0,10.0)",0
2.5,21.0,SpyableGeoScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(6,4,10,1.0,10.0)",21000
2.5,21.0,SpyableGeoScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(6,4,10,1.0,10.0)",21000
5.285714285714319,88.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(6,4,10,1.0,10.0)",0
4.5,7.0,SpyableGeoScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(6,1,1,1.0,10.0)",7000
5.285714285714279,25.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(6,1,1,1.0,10.0)",0
4.5,7.0,SpyableGeoScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(6,1,1,1.0,10.0)",7000
5.285714285714279,25.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(6,1,1,1.0,10.0)",0
5.285714285714279,25.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(6,1,1,1.0,10.0)",0
4.5,7.0,SpyableGeoScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(6,1,1,1.0,10.0)",7000
4.7857142857142785,25.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(6,1,1,1.0,10.0)",0
4.5,7.0,SpyableGeoScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(6,1,1,1.0,10.0)",7000
4.7857142857142785,25.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(6,1,1,1.0,10.0)",0
4.5,7.0,SpyableGeoScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(6,1,1,1.0,10.0)",7000
5.285714285714279,25.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(6,1,1,1.0,10.0)",0
2.5,9.0,SpyableGeoScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(6,2,2,1.0,10.0)",9000
4.785714285714314,46.0,SpyableFlinkScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(6,2,2,1.0,10.0)",0
2.5,9.0,SpyableGeoScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(8,2,2,1.0,10.0)",9000
2.5,9.0,SpyableGeoScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(8,2,2,1.0,10.0)",9000
2.5,9.0,SpyableGeoScheduler,windowJoin,"CentralAndEdgeGeoLocationAndBandwidths(8,2,2,1.0,10.0)",9000
